   z      17.5      18.0      18.5      19.0      19.5      20.0      20.5      21.0      21.5      22.0      22.5      23.0      23.5      24.0      24.5      25.0      25.5      26.0
 0.010  8.11e-03  6.47e-03  9.01e-03  7.72e-03  2.66e-03  6.99e-04  5.79e-04  1.01e-03  1.66e-03  2.31e-03  2.54e-03  2.48e-03  2.18e-03  1.98e-03  1.92e-03  1.85e-03  1.60e-03  9.47e-04
 0.020  3.13e-02  2.40e-02  2.94e-02  2.41e-02  9.29e-03  2.87e-03  2.33e-03  3.61e-03  5.35e-03  6.96e-03  7.42e-03  7.14e-03  6.28e-03  5.68e-03  5.41e-03  5.14e-03  4.47e-03  2.77e-03
 0.030  6.83e-02  5.13e-02  5.85e-02  4.66e-02  1.93e-02  6.56e-03  5.26e-03  7.61e-03  1.06e-02  1.32e-02  1.39e-02  1.33e-02  1.16e-02  1.05e-02  9.93e-03  9.35e-03  8.13e-03  5.19e-03
 0.040  1.18e-01  8.74e-02  9.46e-02  7.41e-02  3.23e-02  1.18e-02  9.36e-03  1.29e-02  1.72e-02  2.08e-02  2.16e-02  2.05e-02  1.80e-02  1.62e-02  1.53e-02  1.43e-02  1.24e-02  8.10e-03
 0.050  1.78e-01  1.31e-01  1.37e-01  1.06e-01  4.81e-02  1.85e-02  1.46e-02  1.94e-02  2.50e-02  2.96e-02  3.05e-02  2.88e-02  2.53e-02  2.27e-02  2.13e-02  1.98e-02  1.73e-02  1.14e-02
 0.060  2.47e-01  1.82e-01  1.83e-01  1.41e-01  6.64e-02  2.68e-02  2.11e-02  2.70e-02  3.39e-02  3.94e-02  4.03e-02  3.79e-02  3.34e-02  2.99e-02  2.79e-02  2.59e-02  2.26e-02  1.51e-02
 0.070  3.22e-01  2.38e-01  2.34e-01  1.79e-01  8.71e-02  3.65e-02  2.86e-02  3.58e-02  4.38e-02  5.02e-02  5.09e-02  4.78e-02  4.21e-02  3.77e-02  3.50e-02  3.25e-02  2.83e-02  1.92e-02
 0.080  4.02e-01  2.98e-01  2.87e-01  2.19e-01  1.10e-01  4.78e-02  3.73e-02  4.56e-02  5.47e-02  6.18e-02  6.23e-02  5.84e-02  5.15e-02  4.61e-02  4.27e-02  3.95e-02  3.44e-02  2.36e-02
 0.090  4.84e-01  3.61e-01  3.42e-01  2.61e-01  1.35e-01  6.05e-02  4.71e-02  5.64e-02  6.65e-02  7.41e-02  7.45e-02  6.97e-02  6.14e-02  5.49e-02  5.08e-02  4.69e-02  4.08e-02  2.83e-02
 0.100  5.65e-01  4.26e-01  3.98e-01  3.04e-01  1.61e-01  7.45e-02  5.80e-02  6.82e-02  7.90e-02  8.72e-02  8.73e-02  8.15e-02  7.18e-02  6.42e-02  5.93e-02  5.46e-02  4.76e-02  3.32e-02
 0.110  6.44e-01  4.92e-01  4.55e-01  3.49e-01  1.89e-01  9.00e-02  6.99e-02  8.08e-02  9.24e-02  1.01e-01  1.01e-01  9.38e-02  8.28e-02  7.39e-02  6.82e-02  6.27e-02  5.46e-02  3.84e-02
 0.120  7.18e-01  5.57e-01  5.11e-01  3.93e-01  2.19e-01  1.07e-01  8.28e-02  9.44e-02  1.06e-01  1.15e-01  1.15e-01  1.07e-01  9.41e-02  8.40e-02  7.74e-02  7.11e-02  6.20e-02  4.39e-02
 0.130  7.87e-01  6.21e-01  5.66e-01  4.38e-01  2.49e-01  1.25e-01  9.67e-02  1.09e-01  1.21e-01  1.30e-01  1.29e-01  1.20e-01  1.06e-01  9.45e-02  8.69e-02  7.98e-02  6.96e-02  4.96e-02
 0.140  8.47e-01  6.82e-01  6.20e-01  4.83e-01  2.81e-01  1.44e-01  1.12e-01  1.24e-01  1.36e-01  1.45e-01  1.44e-01  1.34e-01  1.18e-01  1.05e-01  9.68e-02  8.87e-02  7.74e-02  5.55e-02
 0.150  8.98e-01  7.39e-01  6.71e-01  5.26e-01  3.14e-01  1.64e-01  1.27e-01  1.40e-01  1.52e-01  1.61e-01  1.59e-01  1.48e-01  1.30e-01  1.16e-01  1.07e-01  9.79e-02  8.54e-02  6.16e-02
 0.160  9.40e-01  7.92e-01  7.20e-01  5.70e-01  3.47e-01  1.86e-01  1.44e-01  1.56e-01  1.69e-01  1.77e-01  1.74e-01  1.62e-01  1.43e-01  1.28e-01  1.17e-01  1.07e-01  9.37e-02  6.79e-02
 0.170  9.70e-01  8.40e-01  7.65e-01  6.11e-01  3.80e-01  2.08e-01  1.62e-01  1.73e-01  1.86e-01  1.94e-01  1.90e-01  1.77e-01  1.56e-01  1.40e-01  1.28e-01  1.17e-01  1.02e-01  7.44e-02
 0.180  9.91e-01  8.82e-01  8.07e-01  6.52e-01  4.14e-01  2.32e-01  1.80e-01  1.91e-01  2.03e-01  2.11e-01  2.07e-01  1.91e-01  1.70e-01  1.51e-01  1.39e-01  1.27e-01  1.11e-01  8.11e-02
 0.190  1.00e+00  9.18e-01  8.45e-01  6.91e-01  4.48e-01  2.56e-01  1.99e-01  2.10e-01  2.21e-01  2.28e-01  2.23e-01  2.07e-01  1.83e-01  1.64e-01  1.50e-01  1.37e-01  1.20e-01  8.80e-02
 0.200  9.99e-01  9.48e-01  8.80e-01  7.28e-01  4.82e-01  2.81e-01  2.19e-01  2.28e-01  2.39e-01  2.46e-01  2.40e-01  2.22e-01  1.97e-01  1.76e-01  1.61e-01  1.47e-01  1.29e-01  9.50e-02
 0.210  9.88e-01  9.71e-01  9.10e-01  7.63e-01  5.16e-01  3.06e-01  2.39e-01  2.48e-01  2.57e-01  2.63e-01  2.57e-01  2.38e-01  2.11e-01  1.89e-01  1.72e-01  1.57e-01  1.38e-01  1.02e-01
 0.220  9.68e-01  9.87e-01  9.35e-01  7.96e-01  5.50e-01  3.33e-01  2.60e-01  2.67e-01  2.76e-01  2.81e-01  2.74e-01  2.53e-01  2.25e-01  2.01e-01  1.84e-01  1.68e-01  1.47e-01  1.09e-01
 0.230  9.40e-01  9.97e-01  9.57e-01  8.26e-01  5.83e-01  3.59e-01  2.81e-01  2.87e-01  2.94e-01  2.99e-01  2.91e-01  2.69e-01  2.40e-01  2.14e-01  1.96e-01  1.78e-01  1.56e-01  1.17e-01
