# z   15.0  15.5  16.0  16.5  17.0  17.5  18.0  18.5  19.0  19.5  20.0  20.5  21.0  21.5  22.0  22.5  23.0  23.5  24.0  24.5  25.0  25.5  26.0  26.5  27.0  27.5  28.0  28.5  29.0  29.5  30.0
1.000e-02 8.959e+00 8.829e+00 4.055e+00 1.617e+00 8.540e-01 5.268e-01 3.391e-01 4.745e-05 8.882e-07 3.883e-04 1.619e-03 6.220e-03 9.655e-04 2.730e-03 1.687e-03 3.571e-03 1.039e-02 1.327e-02 1.298e-02 8.956e-03 5.143e-03 6.729e-04 3.420e-05 9.198e-07 5.613e-08 1.142e-08 1.026e-09 4.542e-08 1.061e-08 1.035e-08 2.479e-05
2.000e-02 1.657e+01 1.620e+01 7.798e+00 3.180e+00 1.690e+00 1.045e+00 6.739e-01 5.673e-04 2.992e-05 1.618e-03 4.670e-03 1.386e-02 2.466e-03 6.152e-03 3.888e-03 7.541e-03 2.019e-02 2.506e-02 2.435e-02 1.712e-02 1.010e-02 1.519e-03 1.051e-04 4.602e-06 4.133e-07 9.311e-08 1.022e-08 2.126e-07 5.687e-08 5.534e-08 1.216e-04
3.000e-02 2.089e+01 2.031e+01 1.083e+01 4.626e+00 2.489e+00 1.545e+00 1.000e+00 2.042e-03 1.158e-04 4.549e-03 1.062e-02 2.438e-02 5.049e-03 1.097e-02 7.130e-03 1.231e-02 2.878e-02 3.387e-02 3.249e-02 2.369e-02 1.467e-02 2.713e-03 2.500e-04 1.387e-05 1.379e-06 3.168e-07 3.591e-08 6.257e-07 1.752e-07 1.703e-07 3.638e-04
4.000e-02 2.075e+01 2.020e+01 1.279e+01 5.888e+00 3.232e+00 2.020e+00 1.315e+00 8.455e-03 7.870e-04 1.082e-02 1.988e-02 3.661e-02 8.600e-03 1.667e-02 1.107e-02 1.748e-02 3.700e-02 4.192e-02 3.985e-02 2.981e-02 1.911e-02 4.124e-03 4.894e-04 3.697e-05 4.583e-06 1.124e-06 1.437e-07 1.634e-06 4.971e-07 4.825e-07 7.759e-04
5.000e-02 1.674e+01 1.655e+01 1.349e+01 6.910e+00 3.902e+00 2.463e+00 1.616e+00 1.739e-02 1.757e-03 1.880e-02 3.084e-02 4.973e-02 1.265e-02 2.281e-02 1.537e-02 2.284e-02 4.501e-02 4.957e-02 4.681e-02 3.570e-02 2.349e-02 5.645e-03 7.769e-04 6.714e-05 8.931e-06 2.230e-06 2.933e-07 2.946e-06 9.230e-07 8.955e-07 1.275e-03
6.000e-02 1.102e+01 1.128e+01 1.297e+01 7.650e+00 4.482e+00 2.868e+00 1.898e+00 4.481e-02 6.208e-03 3.377e-02 4.702e-02 6.487e-02 1.807e-02 3.000e-02 2.053e-02 2.863e-02 5.269e-02 5.657e-02 5.311e-02 4.119e-02 2.774e-02 7.420e-03 1.222e-03 1.318e-04 2.054e-05 5.405e-06 7.790e-07 5.777e-06 1.925e-06 1.865e-06 1.943e-03
7.000e-02 5.882e+00 6.391e+00 1.146e+01 8.085e+00 4.963e+00 3.230e+00 2.161e+00 8.259e-02 1.338e-02 5.150e-02 6.494e-02 8.058e-02 2.394e-02 3.749e-02 2.594e-02 3.452e-02 6.027e-02 6.342e-02 5.925e-02 4.659e-02 3.197e-02 9.266e-03 1.724e-03 2.123e-04 3.619e-05 9.818e-06 1.490e-06 9.340e-06 3.227e-06 3.124e-06 2.645e-03
8.000e-02 2.523e+00 3.000e+00 9.362e+00 8.215e+00 5.335e+00 3.544e+00 2.402e+00 1.417e-01 2.618e-02 7.488e-02 8.644e-02 9.745e-02 3.071e-02 4.558e-02 3.186e-02 4.065e-02 6.769e-02 6.996e-02 6.508e-02 5.181e-02 3.613e-02 1.126e-02 2.339e-03 3.255e-04 6.017e-05 1.679e-05 2.667e-06 1.441e-05 5.145e-06 4.977e-06 3.413e-03
9.000e-02 8.602e-01 1.160e+00 7.079e+00 8.058e+00 5.594e+00 3.809e+00 2.620e+00 2.283e-01 4.844e-02 1.042e-01 1.113e-01 1.153e-01 3.832e-02 5.420e-02 3.822e-02 4.695e-02 7.498e-02 7.628e-02 7.070e-02 5.688e-02 4.025e-02 1.337e-02 3.067e-03 4.788e-04 9.600e-05 2.762e-05 4.619e-06 2.143e-05 7.910e-06 7.645e-06 4.215e-03
1.000e-01 2.303e-01 3.670e-01 4.959e+00 7.653e+00 5.741e+00 4.022e+00 2.813e+00 3.293e-01 7.569e-02 1.366e-01 1.379e-01 1.337e-01 4.638e-02 6.309e-02 4.481e-02 5.335e-02 8.221e-02 8.247e-02 7.619e-02 6.187e-02 4.434e-02 1.555e-02 3.856e-03 6.531e-04 1.381e-04 4.050e-05 6.980e-06 2.947e-05 1.112e-05 1.074e-05 5.036e-03
1.100e-01 4.784e-02 9.433e-02 3.219e+00 7.051e+00 5.780e+00 4.183e+00 2.980e+00 4.761e-01 1.230e-01 1.779e-01 1.693e-01 1.533e-01 5.566e-02 7.269e-02 5.200e-02 5.999e-02 8.928e-02 8.841e-02 8.142e-02 6.670e-02 4.838e-02 1.788e-02 4.816e-03 8.991e-04 2.041e-04 6.164e-05 1.114e-05 4.123e-05 1.603e-05 1.547e-05 5.879e-03
1.200e-01 7.617e-03 1.956e-02 1.935e+00 6.309e+00 5.716e+00 4.293e+00 3.121e+00 6.373e-01 1.783e-01 2.221e-01 2.022e-01 1.734e-01 6.535e-02 8.250e-02 5.939e-02 6.669e-02 9.630e-02 9.426e-02 8.658e-02 7.148e-02 5.239e-02 2.027e-02 5.834e-03 1.172e-03 2.802e-04 8.643e-05 1.616e-05 5.449e-05 2.165e-05 2.089e-05 6.725e-03
