   z      20.0      20.5      21.0      21.5      22.0      22.5      23.0      23.5      24.0      24.5      25.0      25.5      26.0      26.5      27.0      27.5
 0.010  8.48e-03  6.93e-03  5.73e-03  4.20e-03  2.90e-03  1.95e-03  1.26e-03  1.46e-03  2.19e-03  3.38e-03  5.71e-03  7.60e-03  6.13e-03  4.07e-03  1.77e-03  7.11e-04
 0.020  2.95e-02  2.37e-02  1.93e-02  1.44e-02  1.02e-02  7.03e-03  4.70e-03  5.16e-03  7.05e-03  9.86e-03  1.49e-02  1.84e-02  1.47e-02  1.00e-02  4.69e-03  2.05e-03
 0.030  6.07e-02  4.83e-02  3.92e-02  2.94e-02  2.11e-02  1.48e-02  1.01e-02  1.08e-02  1.40e-02  1.84e-02  2.61e-02  3.08e-02  2.46e-02  1.69e-02  8.29e-03  3.81e-03
 0.040  1.01e-01  7.96e-02  6.43e-02  4.88e-02  3.53e-02  2.52e-02  1.75e-02  1.81e-02  2.26e-02  2.87e-02  3.87e-02  4.42e-02  3.53e-02  2.45e-02  1.24e-02  5.92e-03
 0.050  1.48e-01  1.17e-01  9.42e-02  7.19e-02  5.25e-02  3.79e-02  2.66e-02  2.71e-02  3.29e-02  4.03e-02  5.25e-02  5.85e-02  4.66e-02  3.27e-02  1.70e-02  8.32e-03
 0.060  2.01e-01  1.59e-01  1.28e-01  9.84e-02  7.24e-02  5.27e-02  3.75e-02  3.77e-02  4.45e-02  5.32e-02  6.73e-02  7.35e-02  5.85e-02  4.13e-02  2.19e-02  1.10e-02
 0.070  2.59e-01  2.05e-01  1.65e-01  1.28e-01  9.49e-02  6.97e-02  5.00e-02  4.96e-02  5.75e-02  6.73e-02  8.29e-02  8.90e-02  7.09e-02  5.02e-02  2.72e-02  1.39e-02
 0.080  3.20e-01  2.54e-01  2.06e-01  1.60e-01  1.20e-01  8.86e-02  6.40e-02  6.30e-02  7.16e-02  8.22e-02  9.91e-02  1.05e-01  8.35e-02  5.96e-02  3.28e-02  1.70e-02
 0.090  3.84e-01  3.06e-01  2.48e-01  1.95e-01  1.46e-01  1.09e-01  7.96e-02  7.76e-02  8.69e-02  9.81e-02  1.16e-01  1.21e-01  9.65e-02  6.92e-02  3.86e-02  2.04e-02
